time;latitude;longitude;depth;mag;nst;gap;dmin;rms;horizontalError;depthError;magError;magNst
2024-06-03T22:03:42.061Z;42.4881;43.5871;7.984;4.9;53;32;0.971;0.8;4.01;4.578;0.065;23
2024-05-11T13:21:52.546Z;38.864;48.7298;65.131;4.9;77;75;0.605;0.68;7.14;5.881;0.053;124
2024-03-30T13:44:35.626Z;42.559;43.597;10;4.7;42;27;1.002;0.59;3.58;1.804;0.093;35
2024-01-19T18:05:56.359Z;39.8359;48.8025;50.837;4.8;173;40;1.978;0.78;6.49;5.115;0.078;16
2023-12-23T02:27:22.182Z;38.518;46.722;10;4.6;55;95;0.897;0.91;5.66;1.862;0.073;57
2023-12-07T04:15:39.620Z;41.1658;49.7285;39.269;5.4;228;30;1.869;1.14;6.56;4.924;0.059;28
2023-11-08T05:18:47.987Z;39.3399;48.2203;42.593;4.9;48;100;0.774;0.77;6.54;7.075;0.073;59
2023-10-19T07:12:13.911Z;42.4665;49.3207;10;4.5;63;62;2.717;0.76;3.48;1.904;0.072;72
2023-10-12T11:04:04.453Z;38.8669;43.4631;10;4.5;104;41;0.638;0.6;3.99;1.844;0.052;36
2023-09-03T16:35:57.754Z;40.3087;48.227;68.322;4.9;79;39;1.235;0.87;5.75;5.811;0.075;17
2023-08-22T21:23:57.614Z;39.0206;48.7354;54.611;4.9;100;75;0.49;0.87;7.85;4.98;0.083;14
2023-07-26T07:03:12.853Z;38.7467;48.8812;57.826;4.7;87;71;0.644;1.16;4.81;5.466;0.046;141
2023-07-03T20:01:49.849Z;41.7302;49.2849;53;5.3;103;31;2.392;0.96;7.55;1.887;0.057;30
2023-06-17T12:30:44.731Z;38.4669;44.9405;10;4.5;101;57;1.487;0.76;6.54;1.879;0.064;71
2023-05-22T17:36:59.367Z;37.5455;47.612;10;4.5;75;81;2.188;1.15;2.56;1.884;0.074;54
2023-04-07T08:29:38.709Z;39.076;40.4393;10;4.5;41;62;0.942;0.79;4.69;1.928;0.115;22
2023-03-24T03:16:56.125Z;38.4614;44.8505;11;5.6;101;40;1.179;0.92;3.53;1.805;0.047;43
2023-03-16T11:47:14.816Z;38.5027;45.0678;10;5.2;110;33;1.111;1.02;5.3;1.758;0.063;24
2023-02-20T00:39:03.160Z;38.6907;39.9843;10;4.5;66;57;1.348;0.53;3.5;1.831;0.071;19
2023-02-20T00:37:30.258Z;38.6445;39.9175;10;4.7;92;41;1.314;0.82;3.87;1.834;0.048;42
2023-02-17T00:35:58.508Z;39.1851;40.1492;10;4.6;95;46;0.874;0.78;4.73;1.875;0.065;23
2023-02-07T19:54:23.826Z;38.5889;39.9722;10;4.6;127;23;1.424;0.62;2.81;1.807;0.048;42
2023-02-06T01:47:43.761Z;38.6055;40.5767;11.35;4.6;17;158;1.142;0.77;7.05;6.644;0.207;7
2023-01-29T15:13:25.532Z;38.4819;44.7507;10;4.5;40;125;1.34;0.88;4.05;1.904;0.071;59
2023-01-29T14:41:14.127Z;38.4906;44.8693;10;4.7;41;101;1.434;0.64;3.68;1.885;0.068;65
2023-01-28T20:09:59.211Z;38.6005;44.8287;10;4.5;46;128;1.419;0.73;6.48;1.851;0.086;39
2023-01-28T18:16:56.220Z;38.4811;44.9282;10;5.1;100;65;1.479;0.69;5.27;1.826;0.067;73
2023-01-28T18:14:45.855Z;38.4199;44.9097;16;5.9;239;31;1.459;0.76;5.24;1.769;0.045;48
2023-01-18T10:08:14.166Z;38.4334;44.9458;19.102;5.7;195;59;1.192;0.64;5.45;3.772;0.069;20
2022-12-08T06:42:15.112Z;42.236;46.9267;61.331;5.5;172;50;0.954;0.44;6.45;4.633;0.083;14
2022-10-05T13:51:38.954Z;38.5939;45.0923;10;4.5;131;58;1.576;0.53;3.63;1.873;0.058;89
2022-10-05T00:21:29.702Z;38.5064;45.0259;15;5.6;105;67;1.558;0.67;7.72;1.811;0.057;30
2022-09-27T14:08:32.729Z;40.7188;42.8876;10;5.3;87;38;1.525;0.56;5.08;1.811;0.047;43
2022-09-21T17:57:54.724Z;38.4613;44.9496;10;5.1;75;62;1.494;0.92;4.74;1.819;0.093;11
2022-09-16T20:30:36.774Z;39.3672;40.7044;10.924;4.8;116;38;0.669;0.86;4;3.52;0.065;23
2022-07-11T03:36:22.891Z;41.1354;43.9928;10;4.7;90;43;1.021;0.59;4.2;1.836;0.058;90
2022-06-12T18:35:20.871Z;38.7366;43.5068;10;5.2;67;56;0.55;0.73;4.7;1.9;0.086;13
2022-06-10T06:02:28.549Z;38.8382;43.4028;10;4.6;59;58;0.59;0.79;5.2;1.9;0.083;14
2022-05-01T19:35:53.019Z;41.1134;44.0631;10;4.9;68;38;1.013;1.07;5;0.9;0.057;97
2022-03-15T12:25:58.936Z;42.0409;42.7475;10;4.7;;37;1.468;0.78;4.8;1.8;0.064;75
2022-03-14T01:15:46.546Z;42.6548;45.3351;10;4.5;;74;0.798;0.94;6.1;1.9;0.073;56
2022-02-13T18:25:56.058Z;41.1598;44.01;10;5.3;;29;0.993;0.88;4.6;1.8;0.057;30
2022-01-31T06:07:00.573Z;39.0635;40.0681;10;4.6;;68;1.348;0.88;2.8;1.9;0.125;21
2022-01-31T00:49:57.323Z;39.1928;40.1586;10;4.7;;38;0.864;0.82;4.8;1.9;0.069;20
2021-12-05T21:46:49.571Z;38.8916;43.4846;19.36;4.9;;52;1.587;0.59;5.5;3.8;0.075;17
