time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1980-07-11 12:33:25.700000+00:00,38.425,40.897,0.11538461538461539,0.45454545454545414,1.0618750000000001,23.0,0.045348446106790896,0.0,1980,7,11,12
1980-09-05 21:09:51.800000+00:00,42.507,44.858,0.46923076923076923,0.0,1.0618750000000001,23.0,0.01880699624072488,0.25147179070391074,1980,9,5,21
1980-10-10 11:09:52.100000+00:00,38.315,45.77,0.46923076923076923,0.18181818181818166,1.0618750000000001,23.0,0.016602725936687844,0.1543105785069749,1980,10,10,11
1980-10-18 03:14:10+00:00,39.851,40.254,0.5000000000000001,0.45454545454545414,1.0618750000000001,23.0,0.05846030582246986,0.0342219255805353,1980,10,18,3
1980-12-11 00:14:41.100000+00:00,40.22,45.88,0.9153846153846155,0.2727272727272725,1.0618750000000001,23.0,0.021922802448620386,0.24039143499860371,1980,12,11,0
1980-12-29 21:53:04+00:00,38.609,45.019,0.46923076923076923,0.09090909090908994,1.0618750000000001,23.0,0.050471196531403015,0.08433903211469504,1980,12,29,21
1981-01-04 07:19:45.600000+00:00,38.443,44.842,0.46923076923076923,0.18181818181818166,1.0618750000000001,23.0,0.06951708286364681,0.024065920100870112,1981,1,4,7
1981-02-23 04:06:39.580000+00:00,41.793,45.975,0.46923076923076923,0.545454545454545,1.1,52.0,0.016563965810801006,0.2225012673865322,1981,2,23,4
1981-04-13 19:41:39.990000+00:00,39.917,40.623,0.11538461538461539,0.0,0.9,5.0,0.02193532948061965,0.2215348344806751,1981,4,13,19
1981-05-12 17:43:03.470000+00:00,42.83,45.765,0.46923076923076923,0.545454545454545,0.9,59.0,0.21307219010802989,0.1290302518339506,1981,5,12,17
1981-05-24 22:07:06.790000+00:00,38.44,45.266,0.46923076923076923,0.09090909090908994,1.2,12.0,0.023416884405869122,0.054362109558925654,1981,5,24,22
1981-07-23 14:07:13.910000+00:00,37.314,45.257,0.46923076923076923,0.09090909090908994,1.3,4.0,0.26279257054591654,0.2662325679855106,1981,7,23,14
