time,latitude,longitude,depth,mag,rms,magNst,Distance_to_Nearest_Fault,TimeToNext,year,month,day,hour
1980-09-05 21:09:51.800000+00:00,42.507,44.858,33.0,4.5,1.0618750000000001,23.0,0.03112421021044956,56.0,1980,9,5,21
1980-10-10 11:09:52.100000+00:00,38.315,45.77,33.0,4.7,1.0618750000000001,23.0,0.02752733490470406,34.0,1980,10,10,11
1980-10-18 03:14:10+00:00,39.851,40.254,35.0,5.0,1.0618750000000001,23.0,0.09582952777719363,7.0,1980,10,18,3
1980-12-11 00:14:41.100000+00:00,40.22,45.88,62.0,4.8,1.0618750000000001,23.0,0.03620850789669175,53.0,1980,12,11,0
1980-12-29 21:53:04+00:00,38.609,45.019,33.0,4.6,1.0618750000000001,23.0,0.08279309124247658,18.0,1980,12,29,21
1981-01-04 07:19:45.600000+00:00,38.443,44.842,33.0,4.7,1.0618750000000001,23.0,0.11387171081967543,5.0,1981,1,4,7
1981-02-23 04:06:39.580000+00:00,41.793,45.975,33.0,5.1,1.1,52.0,0.027464087062824313,49.0,1981,2,23,4
1981-04-13 19:41:39.990000+00:00,39.917,40.623,10.0,4.5,0.9,5.0,0.03622894920643943,49.0,1981,4,13,19
1981-05-12 17:43:03.470000+00:00,42.83,45.765,33.0,5.1,0.9,59.0,0.3481214846860173,28.0,1981,5,12,17
1981-05-24 22:07:06.790000+00:00,38.44,45.266,33.0,4.6,1.2,12.0,0.038646514926476416,12.0,1981,5,24,22
1981-07-23 14:07:13.910000+00:00,37.314,45.257,33.0,4.6,1.3,4.0,0.42925400652862933,59.0,1981,7,23,14
1981-08-04 18:35:41.270000+00:00,38.072,49.34,27.0,5.6,0.9,6.0,0.34358634579816066,12.0,1981,8,4,18
1981-08-04 18:51:53.870000+00:00,38.24,49.501,33.0,4.5,0.8,4.0,0.47619731630959317,0.0,1981,8,4,18
1981-08-05 00:13:51.570000+00:00,38.369,49.554,33.0,4.6,0.9,2.0,0.5097537016215087,0.0,1981,8,5,0
1981-10-18 05:22:28.300000+00:00,43.257,45.308,33.0,5.7,1.2,3.0,0.6361788836019286,74.0,1981,10,18,5
1981-10-18 18:17:59.930000+00:00,43.262,45.429,33.0,4.5,1.1,3.0,0.6717897393835376,0.0,1981,10,18,18
1981-10-19 05:49:51.080000+00:00,43.515,45.537,33.0,4.6,1.0,4.0,0.9465389901852962,0.0,1981,10,19,5
1981-10-20 14:11:36.170000+00:00,43.243,45.394,33.0,4.7,0.9,7.0,0.6426305501149175,1.0,1981,10,20,14
1981-11-19 14:10:35.810000+00:00,40.734,49.193,33.0,5.0,1.2,33.0,0.07209270759420024,29.0,1981,11,19,14
1981-11-29 23:37:32.640000+00:00,40.836,48.078,44.7,5.1,1.1,42.0,0.0390554922953279,10.0,1981,11,29,23
1981-12-02 00:51:36.350000+00:00,40.926,48.09,33.0,5.1,1.2,45.0,0.10206356410835808,2.0,1981,12,2,0
